District,Zone,Geographical Region,Development Region,S.no,Const,Candidate Name,Party Name,Gender,Total Votes,Remark
Taplejung,Mechi,Mountain,Eastern,1,1,Surya Man Gurung,Nepali Congress,M,8719,Elected
Taplejung,Mechi,Mountain,Eastern,2,2,Damber Dhoj Tumbahamphe,Communist Party of Nepal (UML),M,8628,Elected
Panchthar,Mechi,Hill,Eastern,3,1,Purna Kumar Serma,Nepali Congress,M,12920,Elected
Panchthar,Mechi,Hill,Eastern,4,2,Damber Singh Sambahamphe,Communist Party of Nepal (UML),M,12402,Elected
Ilam,Mechi,Hill,Eastern,5,1,Jhal Nath Khanal,Communist Party of Nepal (UML),M,17655,Elected
Ilam,Mechi,Hill,Eastern,6,2,Subash Nembang,Communist Party of Nepal (UML),M,17748,Elected
Ilam,Mechi,Hill,Eastern,7,3,Kul Bahadur Gurung,Nepali Congress,M,16286,Elected
Jhapa,Mechi,Terai,Eastern,8,1,Dharma Prasad Ghimire,Communist Party of Nepal (Maoists),M,15276,Elected
Jhapa,Mechi,Terai,Eastern,9,2,Gauri Shankar Khadka,Communist Party of Nepal (Maoists),M,18580,Elected
Jhapa,Mechi,Terai,Eastern,10,3,Purna Prasad Rajbansi,Communist Party of Nepal (Maoists),M,16685,Elected
Jhapa,Mechi,Terai,Eastern,11,4,Dharma Sila Chapagain,Communist Party of Nepal (Maoists),F,19289,Elected
Jhapa,Mechi,Terai,Eastern,12,5,Keshav Kumar Budhathoki,Nepali Congress,M,16466,Elected
Jhapa,Mechi,Terai,Eastern,13,6,Dipak Karki,Communist Party of Nepal (UML),M,14196,Elected
Jhapa,Mechi,Terai,Eastern,14,7,Bishwodip Lingden Limbu,Communist Party of Nepal (Maoists),M,16099,Elected
Sankhuwasabha,Kosi,Mountain,Eastern,15,1,Purna Prasad Rai,Communist Party of Nepal (Maoists),M,12948,Elected
Sankhuwasabha,Kosi,Mountain,Eastern,16,2,Dambar Bahadur Khadka,Communist Party of Nepal (UML),M,10870,Elected
Terhathum,Kosi,Hill,Eastern,17,1,Tulsi Subba,Nepali Congress,M,19113,Elected
Bhojpur,Kosi,Hill,Eastern,18,1,Padam Bahadur Rai,Communist Party of Nepal (Maoists),M,15796,Elected
Bhojpur,Kosi,Hill,Eastern,19,2,Sudan Rai,Communist Party of Nepal (Maoists),M,17578,Elected
Dhankuta,Kosi,Hill,Eastern,20,1,Hem Raj Bhandari,Communist Party of Nepal (Maoists),M,17202,Elected
Dhankuta,Kosi,Hill,Eastern,21,2,Hari Raj Limbu,Communist Party of Nepal (Maoists),M,12299,Elected
Morang,Kosi,Terai,Eastern,22,1,Amod Prasad Updhaya,Nepali Congress,M,11105,Elected
Morang,Kosi,Terai,Eastern,23,2,Lal Bahadur Susling Magar,Communist Party of Nepal (Maoists),M,16567,Elected
Morang,Kosi,Terai,Eastern,24,3,Sabitri Kumar Kafle,Communist Party of Nepal (Maoists),M,15863,Elected
Morang,Kosi,Terai,Eastern,25,4,Rama Nand Mandal,"Madhesi People's Rights Forum, Nepal",M,9894,Elected
Morang,Kosi,Terai,Eastern,26,5,Upendra Yadav,"Madhesi People's Rights Forum, Nepal",M,27508,Elected
Morang,Kosi,Terai,Eastern,27,6,Bhim Raj Chaudhari Rajbansi,"Madhesi People's Rights Forum, Nepal",M,17086,Elected
Morang,Kosi,Terai,Eastern,28,7,Bijaya Kumar Gachchhadar,"Madhesi People's Rights Forum, Nepal",M,18416,Elected
Morang,Kosi,Terai,Eastern,29,8,Gopi Nahadur Sarki (Achhami),Communist Party of Nepal (Maoists),M,14375,Elected
Morang,Kosi,Terai,Eastern,30,9,Narendra Bahadur Dhimal,Communist Party of Nepal (Maoists),M,14930,Elected
Sunsari,Kosi,Terai,Eastern,31,1,Kiran Kumar Rai,Communist Party of Nepal (Maoists),M,18620,Elected
Sunsari,Kosi,Terai,Eastern,32,2,Dharma Raj Niraula,Communist Party of Nepal (UML),M,15636,Elected
Sunsari,Kosi,Terai,Eastern,33,3,Bijaya Kumar Gachchhadar,"Madhesi People's Rights Forum, Nepal",M,23769,Elected
Sunsari,Kosi,Terai,Eastern,34,4,Muga Lal Mahato,"Madhesi People's Rights Forum, Nepal",M,19945,Elected
Sunsari,Kosi,Terai,Eastern,35,5,Upendra Yadav,"Madhesi People's Rights Forum, Nepal",M,23939,Elected
Sunsari,Kosi,Terai,Eastern,36,6,Bhim Prasad Acharya,Communist Party of Nepal (UML),M,15664,Elected
Solukhumbu,Sagarmatha,Mountain,Eastern,37,1,Gopal Kirati,Communist Party of Nepal (Maoists),M,19095,Elected
Khotang,Sagarmatha,Hill,Eastern,38,1,Ram Kumar Rai,Communist Party of Nepal (Maoists),M,16687,Elected
Khotang,Sagarmatha,Hill,Eastern,39,2,Samita Karki,Communist Party of Nepal (Maoists),F,18168,Elected
Okhaldhunga,Sagarmatha,Hill,Eastern,40,1,Keshav Rai,Communist Party of Nepal (Maoists),M,11635,Elected
Okhaldhunga,Sagarmatha,Hill,Eastern,41,2,Bal Krishna Dhungel,Communist Party of Nepal (Maoists),M,11069,Elected
Udayapur,Sagarmatha,Hill,Eastern,42,1,Narayan Khadka,Nepali Congress,M,14468,Elected
Udayapur,Sagarmatha,Hill,Eastern,43,2,Mani Khambu Kirati,Communist Party of Nepal (Maoists),F,13598,Elected
Udayapur,Sagarmatha,Hill,Eastern,44,3,Mohan Bahadur Khatri,Communist Party of Nepal (Maoists),M,14775,Elected
Saptari,Sagarmatha,Terai,Eastern,45,1,Hem Raj Tated,"Madhesi People's Rights Forum, Nepal",M,9879,Elected
Saptari,Sagarmatha,Terai,Eastern,46,2,Jaya Prakash Prasad Gupta,"Madhesi People's Rights Forum, Nepal",M,8515,Elected
Saptari,Sagarmatha,Terai,Eastern,47,3,Mahesh Prasad Yadav,Sadhvawana Party,M,10302,Elected
Saptari,Sagarmatha,Terai,Eastern,48,4,Renu Kumari Yadav,"Madhesi People's Rights Forum, Nepal",F,12681,Elected
Saptari,Sagarmatha,Terai,Eastern,49,5,Sadrul Miya Haq,Independent,M,10603,Elected
Saptari,Sagarmatha,Terai,Eastern,50,6,Mrigendra Kumar Singh Yadav,"Madhesi People's Rights Forum, Nepal",M,14028,Elected
Siraha,Sagarmatha,Terai,Eastern,51,1,Laxman Mahato,"Madhesi People's Rights Forum, Nepal",M,9814,Elected
Siraha,Sagarmatha,Terai,Eastern,52,2,Raj Lal Yadav,"Madhesi People's Rights Forum, Nepal",M,16684,Elected
Siraha,Sagarmatha,Terai,Eastern,53,3,Bijaya Kumar Yadav,"Madhesi People's Rights Forum, Nepal",M,14884,Elected
Siraha,Sagarmatha,Terai,Eastern,54,4,Shatrughan Prasad Singh Koiree,"Madhesi People's Rights Forum, Nepal",M,11779,Elected
Siraha,Sagarmatha,Terai,Eastern,55,5,Mahendra Paswan,Communist Party of Nepal (Maoists),M,12110,Elected
Siraha,Sagarmatha,Terai,Eastern,56,6,Raj Kishwor Yadav,"Madhesi People's Rights Forum, Nepal",M,15551,Elected
Dolakha,Janakpur,Mountain,Central,57,1,Devi Khadka,Communist Party of Nepal (Maoists),F,22182,Elected
Dolakha,Janakpur,Mountain,Central,58,2,Hem Bahadur Shrestha,Communist Party of Nepal (Maoists),M,18793,Elected
Ramechhap,Janakpur,Hill,Central,59,1,Tara Narayan Shrestha,Communist Party of Nepal (Maoists),M,19910,Elected
Ramechhap,Janakpur,Hill,Central,60,2,Dilliman Tamang,Communist Party of Nepal (Maoists),M,31121,Elected
Sindhuli,Janakpur,Hill,Central,61,1,Bisham Lal Adhikari,Communist Party of Nepal (UML),M,12058,Elected
Sindhuli,Janakpur,Hill,Central,62,2,Chandra Prasad Gajurel,Communist Party of Nepal (Maoists),M,18398,Elected
Sindhuli,Janakpur,Hill,Central,63,3,Neer Kumari Kunwar,Communist Party of Nepal (Maoists),F,14944,Elected
Dhanusa,Janakpur,Terai,Central,64,1,Ram Chandra Jha,Communist Party of Nepal (UML),M,12183,Elected
Dhanusa,Janakpur,Terai,Central,65,2,Ram Krishna Yadav,Nepali Congress,M,9825,Elected
Dhanusa,Janakpur,Terai,Central,66,3,Bimalendra Nidhi,Nepali Congress,M,15582,Elected
Dhanusa,Janakpur,Terai,Central,67,4,Sanjay Kumar Shah,"Madhesi People's Rights Forum, Nepal",M,13422,Elected
Dhanusa,Janakpur,Terai,Central,68,5,Ram Baran Yadav,Nepali Congress,M,10392,Elected
Dhanusa,Janakpur,Terai,Central,69,6,Ram Kumari Devi Yadav,Communist Party of Nepal (Maoists),F,11570,Elected
Dhanusa,Janakpur,Terai,Central,70,7,Shatrudhan Mahato,Communist Party of Nepal (UML),M,11620,Elected
Mahottari,Janakpur,Terai,Central,71,1,Gireeraj Mani Pokhrel,Janamorcha Nepal,M,10196,Elected
Mahottari,Janakpur,Terai,Central,72,2,Hari Narayan Yadav,"Madhesi People's Rights Forum, Nepal",M,7457,Elected
Mahottari,Janakpur,Terai,Central,73,3,Ganesh Tiwari Nepali,Tarai Madhes Loktantrik Party,M,11390,Elected
Mahottari,Janakpur,Terai,Central,74,4,RamKumar Sharma,Tarai Madhes Loktantrik Party,M,9564,Elected
Mahottari,Janakpur,Terai,Central,75,5,Kaushal Kumar Raya Yadav,"Madhesi People's Rights Forum, Nepal",M,8609,Elected
Sarlahi,Janakpur,Terai,Central,76,1,Prakesh Pakhrin,Communist Party of Nepal (UML),M,12726,Elected
Sarlahi,Janakpur,Terai,Central,77,2,Muhamad Rijwan Ansari,Communist Party of Nepal (UML),M,9156,Elected
Sarlahi,Janakpur,Terai,Central,78,3,Sumitra Devi Raya Yadav,Tarai Madhes Loktantrik Party,F,11868,Elected
Sarlahi,Janakpur,Terai,Central,79,4,Rajendra Mahato,Sadhvawana Party,M,17073,Elected
Sarlahi,Janakpur,Terai,Central,80,5,Khobhari Raya,Sadhvawana Party,M,13142,Elected
Sarlahi,Janakpur,Terai,Central,81,6,Shiva Pujan Raya Yadav,"Madhesi People's Rights Forum, Nepal",M,15688,Elected
Rasuwa,Bagmati,Mountain,Central,82,1,Prem Bahadur Tamang,Communist Party of Nepal (Maoists),M,11147,Elected
Dhading,Bagmati,Hill,Central,83,1,Puspa Bikram Malla,Communist Party of Nepal (Maoists),M,29555,Elected
Dhading,Bagmati,Hill,Central,84,2,Kalpana Dhamala,Communist Party of Nepal (Maoists),F,20730,Elected
Dhading,Bagmati,Hill,Central,85,3,Shalik Ram Jamarkattel,Communist Party of Nepal (Maoists),M,25075,Elected
Nuwakot,Bagmati,Hill,Central,86,1,Bimala Subedi,Communist Party of Nepal (Maoists),F,20581,Elected
Nuwakot,Bagmati,Hill,Central,87,2,Dr. Ramsharan Mahat,Nepali Congress,M,17442,Elected
Nuwakot,Bagmati,Hill,Central,88,3,Posta Bahadur Bogati,Communist Party of Nepal (Maoists),M,16735,Elected
Kathmandu,Bagmati,Hill,Central,89,1,Prakash Man Singh,Nepali Congress,M,14318,Elected
Kathmandu,Bagmati,Hill,Central,90,2,Jhakku Prasad Subedi,Communist Party of Nepal (Maoists),M,13858,Elected
Kathmandu,Bagmati,Hill,Central,91,3,Chakra Bahadur Thakuri,Nepali Congress,M,12966,Elected
Kathmandu,Bagmati,Hill,Central,92,4,Suprabha Ghimire,Nepali Congress,F,13451,Elected
Kathmandu,Bagmati,Hill,Central,93,5,Narahari Acharya,Nepali Congress,M,13245,Elected
Kathmandu,Bagmati,Hill,Central,94,6,Hit Man Shakya,Communist Party of Nepal (Maoists),M,10768,Elected
Kathmandu,Bagmati,Hill,Central,95,7,Hisila Yami (Bhattarai),Communist Party of Nepal (Maoists),F,12276,Elected
Kathmandu,Bagmati,Hill,Central,96,8,Nabindra Raj Joshi,Nepali Congress,M,11005,Elected
Kathmandu,Bagmati,Hill,Central,97,9,Dhyan Gobinda Ranjit,Nepali Congress,M,12501,Elected
Kathmandu,Bagmati,Hill,Central,98,10,Pushpa Kamal Dahal (Prachanda),Communist Party of Nepal (Maoists),M,23277,Elected
Bhaktapur,Bagmati,Hill,Central,99,1,Narayanman Bijukchhe,Nepal Workers and Peasants Party,M,19972,Elected
Bhaktapur,Bagmati,Hill,Central,100,2,Sunil Prajapati,Nepal Workers and Peasants Party,M,18100,Elected
Lalitpur,Bagmati,Hill,Central,101,1,Barsha Man Pun Magar,Communist Party of Nepal (Maoists),M,15329,Elected
Lalitpur,Bagmati,Hill,Central,102,2,Raj Kaji Maharjan,Communist Party of Nepal (Maoists),M,17088,Elected
Lalitpur,Bagmati,Hill,Central,103,3,Pampha Bhushal,Communist Party of Nepal (Maoists),F,18930,Elected
Kavre,Bagmati,Hill,Central,104,1,Suryaman Dong Tamang,Communist Party of Nepal (Maoists),M,27471,Elected
Kavre,Bagmati,Hill,Central,105,2,Akal Bahadur Thing,Communist Party of Nepal (Maoists),M,18207,Elected
Kavre,Bagmati,Hill,Central,106,3,Krishna Prasad Sapkota,Communist Party of Nepal (UML),M,16594,Elected
Kavre,Bagmati,Hill,Central,107,4,Tej Bahadur Mijar,Communist Party of Nepal (Maoists),M,22076,Elected
Sindhupalchok,Bagmati,Mountain,Central,108,1,Raj Kumar Shrestha,Communist Party of Nepal (Maoists),M,21320,Elected
Sindhupalchok,Bagmati,Mountain,Central,109,2,Agni Prasad Sapkota,Communist Party of Nepal (Maoists),M,30175,Elected
Sindhupalchok,Bagmati,Mountain,Central,110,3,Dawa Tamang,Communist Party of Nepal (Maoists),M,14216,Elected
Makwanpur,Narayani,Hill,Central,111,1,Dil Bahadur Ghising,Communist Party of Nepal (Maoists),M,21027,Elected
Makwanpur,Narayani,Hill,Central,112,2,Prem Bahadur Pulami,Communist Party of Nepal (Maoists),M,16976,Elected
Makwanpur,Narayani,Hill,Central,113,3,Prahlad Lamichhane,Communist Party of Nepal (Maoists),M,18514,Elected
Makwanpur,Narayani,Hill,Central,114,4,Kumari Moktan,Communist Party of Nepal (Maoists),F,14020,Elected
Rautahat,Narayani,Terai,Central,115,1,Baban Singh,Independent,M,9201,Elected
Rautahat,Narayani,Terai,Central,116,2,Mo. Aftab Alam,Nepali Congress,M,16801,Elected
Rautahat,Narayani,Terai,Central,117,3,Prabhu Saha Teli,Communist Party of Nepal (Maoists),M,11625,Elected
Rautahat,Narayani,Terai,Central,118,4,Krishna Prasad Yadav,Nepali Congress,M,9997,Elected
Rautahat,Narayani,Terai,Central,119,5,Govinda Chaudhari,Tarai Madhes Loktantrik Party,M,11732,Elected
Rautahat,Narayani,Terai,Central,120,6,Devendra Prasad Patel,Communist Party of Nepal (Maoists),M,10133,Elected
