District,Zone,Geographical Region,Development Region,Year BS,Year AD,Number of Voters
Lamjung,Gandaki,Hill,Western,2062,2005,140470
Lamjung,Gandaki,Hill,Western,2063,2006,153335
Kaski,Gandaki,Hill,Western,2047,1990,195945
Kaski,Gandaki,Hill,Western,2050,1993,223646
Kaski,Gandaki,Hill,Western,2056,1999,224246
Kaski,Gandaki,Hill,Western,2057,2000,246010
Kaski,Gandaki,Hill,Western,2058,2001,244747
Kaski,Gandaki,Hill,Western,2059,2002,246819
Kaski,Gandaki,Hill,Western,2060,2003,256755
Kaski,Gandaki,Hill,Western,2061,2004,262542
Kaski,Gandaki,Hill,Western,2062,2005,269481
Kaski,Gandaki,Hill,Western,2063,2006,315635
Tanahu,Gandaki,Hill,Western,2047,1990,184085
Tanahu,Gandaki,Hill,Western,2050,1993,207683
Tanahu,Gandaki,Hill,Western,2056,1999,207967
Tanahu,Gandaki,Hill,Western,2057,2000,211831
Tanahu,Gandaki,Hill,Western,2058,2001,215127
Tanahu,Gandaki,Hill,Western,2059,2002,216565
Tanahu,Gandaki,Hill,Western,2060,2003,218528
Tanahu,Gandaki,Hill,Western,2061,2004,219332
Tanahu,Gandaki,Hill,Western,2062,2005,221373
Tanahu,Gandaki,Hill,Western,2063,2006,267618
Syangja,Gandaki,Hill,Western,2047,1990,215448
Syangja,Gandaki,Hill,Western,2050,1993,237539
Syangja,Gandaki,Hill,Western,2056,1999,243369
Syangja,Gandaki,Hill,Western,2057,2000,255271
Syangja,Gandaki,Hill,Western,2058,2001,260637
Syangja,Gandaki,Hill,Western,2059,2002,261981
Syangja,Gandaki,Hill,Western,2060,2003,266352
Syangja,Gandaki,Hill,Western,2061,2004,267544
Syangja,Gandaki,Hill,Western,2062,2005,272170
Syangja,Gandaki,Hill,Western,2063,2006,295442
Gulmi,Lumbini,Hill,Western,2047,1990,184204
Gulmi,Lumbini,Hill,Western,2050,1993,198334
Gulmi,Lumbini,Hill,Western,2056,1999,214712
Gulmi,Lumbini,Hill,Western,2057,2000,227891
Gulmi,Lumbini,Hill,Western,2058,2001,229133
Gulmi,Lumbini,Hill,Western,2059,2002,230172
Gulmi,Lumbini,Hill,Western,2060,2003,232349
Gulmi,Lumbini,Hill,Western,2061,2004,232524
Gulmi,Lumbini,Hill,Western,2062,2005,236188
Gulmi,Lumbini,Hill,Western,2063,2006,261669
Palpa,Lumbini,Hill,Western,2047,1990,151267
Palpa,Lumbini,Hill,Western,2050,1993,169101
Palpa,Lumbini,Hill,Western,2056,1999,176869
Palpa,Lumbini,Hill,Western,2057,2000,184078
Palpa,Lumbini,Hill,Western,2058,2001,183863
Palpa,Lumbini,Hill,Western,2059,2002,184983
Palpa,Lumbini,Hill,Western,2060,2003,187727
Palpa,Lumbini,Hill,Western,2061,2004,189391
Palpa,Lumbini,Hill,Western,2062,2005,192798
Palpa,Lumbini,Hill,Western,2063,2006,215281
Arghakhanchi,Lumbini,Hill,Western,2047,1990,115882
Arghakhanchi,Lumbini,Hill,Western,2050,1993,129861
Arghakhanchi,Lumbini,Hill,Western,2056,1999,140836
Arghakhanchi,Lumbini,Hill,Western,2057,2000,151770
Arghakhanchi,Lumbini,Hill,Western,2058,2001,154134
Arghakhanchi,Lumbini,Hill,Western,2059,2002,155485
Arghakhanchi,Lumbini,Hill,Western,2060,2003,156888
Arghakhanchi,Lumbini,Hill,Western,2061,2004,157132
Arghakhanchi,Lumbini,Hill,Western,2062,2005,158584
Arghakhanchi,Lumbini,Hill,Western,2063,2006,180694
Nawalparasi,Lumbini,Terai,Western,2047,1990,247290
Nawalparasi,Lumbini,Terai,Western,2050,1993,284862
Nawalparasi,Lumbini,Terai,Western,2056,1999,306965
Nawalparasi,Lumbini,Terai,Western,2057,2000,330832
Nawalparasi,Lumbini,Terai,Western,2058,2001,336433
Nawalparasi,Lumbini,Terai,Western,2059,2002,339979
Nawalparasi,Lumbini,Terai,Western,2060,2003,345762
Nawalparasi,Lumbini,Terai,Western,2061,2004,349229
Nawalparasi,Lumbini,Terai,Western,2062,2005,357325
Nawalparasi,Lumbini,Terai,Western,2063,2006,428018
Rupandehi,Lumbini,Terai,Western,2047,1990,289400
Rupandehi,Lumbini,Terai,Western,2050,1993,341499
Rupandehi,Lumbini,Terai,Western,2056,1999,364818
Rupandehi,Lumbini,Terai,Western,2057,2000,392494
Rupandehi,Lumbini,Terai,Western,2058,2001,403608
Rupandehi,Lumbini,Terai,Western,2059,2002,410282
Rupandehi,Lumbini,Terai,Western,2060,2003,416780
Rupandehi,Lumbini,Terai,Western,2061,2004,417397
Rupandehi,Lumbini,Terai,Western,2062,2005,421638
Rupandehi,Lumbini,Terai,Western,2063,2006,522898
Kapilbastu,Lumbini,Terai,Western,2047,1990,215097
Kapilbastu,Lumbini,Terai,Western,2050,1993,229116
Kapilbastu,Lumbini,Terai,Western,2056,1999,267697
Kapilbastu,Lumbini,Terai,Western,2057,2000,287298
Kapilbastu,Lumbini,Terai,Western,2058,2001,292553
Kapilbastu,Lumbini,Terai,Western,2059,2002,296843
Kapilbastu,Lumbini,Terai,Western,2060,2003,300237
Kapilbastu,Lumbini,Terai,Western,2061,2004,299253
Kapilbastu,Lumbini,Terai,Western,2062,2005,301301
Kapilbastu,Lumbini,Terai,Western,2063,2006,348954
Mustang,Dhawalagiri,Mountain,Western,2047,1990,11312
Mustang,Dhawalagiri,Mountain,Western,2050,1993,10800
Mustang,Dhawalagiri,Mountain,Western,2056,1999,10776
Mustang,Dhawalagiri,Mountain,Western,2057,2000,11019
Mustang,Dhawalagiri,Mountain,Western,2058,2001,11299
Mustang,Dhawalagiri,Mountain,Western,2059,2002,11625
Mustang,Dhawalagiri,Mountain,Western,2060,2003,11580
Mustang,Dhawalagiri,Mountain,Western,2061,2004,11506
Mustang,Dhawalagiri,Mountain,Western,2062,2005,11550
Mustang,Dhawalagiri,Mountain,Western,2063,2006,11889
Myagdi,Dhawalagiri,Hill,Western,2047,1990,66905
Myagdi,Dhawalagiri,Hill,Western,2050,1993,69646
Myagdi,Dhawalagiri,Hill,Western,2056,1999,70477
Myagdi,Dhawalagiri,Hill,Western,2057,2000,73851
Myagdi,Dhawalagiri,Hill,Western,2058,2001,74708
Myagdi,Dhawalagiri,Hill,Western,2059,2002,75336
Myagdi,Dhawalagiri,Hill,Western,2060,2003,76227
Myagdi,Dhawalagiri,Hill,Western,2061,2004,76454
Myagdi,Dhawalagiri,Hill,Western,2062,2005,77164
Myagdi,Dhawalagiri,Hill,Western,2063,2006,88147
Baglung,Dhawalagiri,Hill,Western,2047,1990,158603
Baglung,Dhawalagiri,Hill,Western,2050,1993,167321
Baglung,Dhawalagiri,Hill,Western,2056,1999,183068
Baglung,Dhawalagiri,Hill,Western,2057,2000,193472
Baglung,Dhawalagiri,Hill,Western,2058,2001,197361
Baglung,Dhawalagiri,Hill,Western,2059,2002,202711
Baglung,Dhawalagiri,Hill,Western,2060,2003,204521
Baglung,Dhawalagiri,Hill,Western,2061,2004,205892
Baglung,Dhawalagiri,Hill,Western,2062,2005,209537
Baglung,Dhawalagiri,Hill,Western,2063,2006,226365
Parbat,Dhawalagiri,Hill,Western,2047,1990,109576
Parbat,Dhawalagiri,Hill,Western,2050,1993,119258
Parbat,Dhawalagiri,Hill,Western,2056,1999,118243
Parbat,Dhawalagiri,Hill,Western,2057,2000,125700
Parbat,Dhawalagiri,Hill,Western,2058,2001,127542
Parbat,Dhawalagiri,Hill,Western,2059,2002,129106
Parbat,Dhawalagiri,Hill,Western,2060,2003,131359
Parbat,Dhawalagiri,Hill,Western,2061,2004,132098
Parbat,Dhawalagiri,Hill,Western,2062,2005,133199
Parbat,Dhawalagiri,Hill,Western,2063,2006,145134
Rukum,Rapti,Hill,Mid-Western,2047,1990,83593
Rukum,Rapti,Hill,Mid-Western,2050,1993,97347
Rukum,Rapti,Hill,Mid-Western,2056,1999,100970
Rukum,Rapti,Hill,Mid-Western,2057,2000,103793
Rukum,Rapti,Hill,Mid-Western,2058,2001,104688
Rukum,Rapti,Hill,Mid-Western,2059,2002,106088
Rukum,Rapti,Hill,Mid-Western,2060,2003,107882
Rukum,Rapti,Hill,Mid-Western,2061,2004,108182
Rukum,Rapti,Hill,Mid-Western,2062,2005,109496
Rukum,Rapti,Hill,Mid-Western,2063,2006,130947
Rolpa,Rapti,Hill,Mid-Western,2047,1990,112191
Rolpa,Rapti,Hill,Mid-Western,2050,1993,118443
Rolpa,Rapti,Hill,Mid-Western,2056,1999,124662
Rolpa,Rapti,Hill,Mid-Western,2057,2000,125174
Rolpa,Rapti,Hill,Mid-Western,2058,2001,125314
Rolpa,Rapti,Hill,Mid-Western,2059,2002,125942
Rolpa,Rapti,Hill,Mid-Western,2060,2003,128316
Rolpa,Rapti,Hill,Mid-Western,2061,2004,130918
Rolpa,Rapti,Hill,Mid-Western,2062,2005,133501
Rolpa,Rapti,Hill,Mid-Western,2063,2006,153966
Pyuthan,Rapti,Hill,Mid-Western,2047,1990,105845
Pyuthan,Rapti,Hill,Mid-Western,2050,1993,114077
Pyuthan,Rapti,Hill,Mid-Western,2056,1999,126937
Pyuthan,Rapti,Hill,Mid-Western,2057,2000,133355
Pyuthan,Rapti,Hill,Mid-Western,2058,2001,136356
Pyuthan,Rapti,Hill,Mid-Western,2059,2002,137907
Pyuthan,Rapti,Hill,Mid-Western,2060,2003,140026
Pyuthan,Rapti,Hill,Mid-Western,2061,2004,140988
Pyuthan,Rapti,Hill,Mid-Western,2062,2005,141987
Pyuthan,Rapti,Hill,Mid-Western,2063,2006,160561
Salyan,Rapti,Hill,Mid-Western,2047,1990,103303
Salyan,Rapti,Hill,Mid-Western,2050,1993,109745
Salyan,Rapti,Hill,Mid-Western,2056,1999,118012
Salyan,Rapti,Hill,Mid-Western,2057,2000,120782
Salyan,Rapti,Hill,Mid-Western,2058,2001,121220
Salyan,Rapti,Hill,Mid-Western,2059,2002,123075
Salyan,Rapti,Hill,Mid-Western,2060,2003,128101
Salyan,Rapti,Hill,Mid-Western,2061,2004,129524
Salyan,Rapti,Hill,Mid-Western,2062,2005,131537
Salyan,Rapti,Hill,Mid-Western,2063,2006,159894
Dang,Rapti,Terai,Mid-Western,2047,1990,190900
Dang,Rapti,Terai,Mid-Western,2050,1993,228624
Dang,Rapti,Terai,Mid-Western,2056,1999,245322
Dang,Rapti,Terai,Mid-Western,2057,2000,266504
Dang,Rapti,Terai,Mid-Western,2058,2001,271586
Dang,Rapti,Terai,Mid-Western,2059,2002,273014
Dang,Rapti,Terai,Mid-Western,2060,2003,276381
Dang,Rapti,Terai,Mid-Western,2061,2004,278408
Dang,Rapti,Terai,Mid-Western,2062,2005,280453
Dang,Rapti,Terai,Mid-Western,2063,2006,358860
Dolpa,Karnali,Mountain,Mid-Western,2047,1990,16528
Dolpa,Karnali,Mountain,Mid-Western,2050,1993,17291
Dolpa,Karnali,Mountain,Mid-Western,2056,1999,18659
Dolpa,Karnali,Mountain,Mid-Western,2057,2000,19238
Dolpa,Karnali,Mountain,Mid-Western,2058,2001,19506
Dolpa,Karnali,Mountain,Mid-Western,2059,2002,19474
Dolpa,Karnali,Mountain,Mid-Western,2060,2003,19670
Dolpa,Karnali,Mountain,Mid-Western,2061,2004,19642
Dolpa,Karnali,Mountain,Mid-Western,2062,2005,19755
Dolpa,Karnali,Mountain,Mid-Western,2063,2006,21932
Mugu,Karnali,Mountain,Mid-Western,2047,1990,24063
Mugu,Karnali,Mountain,Mid-Western,2050,1993,25290
Mugu,Karnali,Mountain,Mid-Western,2056,1999,29296
Mugu,Karnali,Mountain,Mid-Western,2057,2000,30484
Mugu,Karnali,Mountain,Mid-Western,2058,2001,30750
Mugu,Karnali,Mountain,Mid-Western,2059,2002,30790
Mugu,Karnali,Mountain,Mid-Western,2060,2003,30969
Mugu,Karnali,Mountain,Mid-Western,2061,2004,30806
Mugu,Karnali,Mountain,Mid-Western,2062,2005,31446
Mugu,Karnali,Mountain,Mid-Western,2063,2006,33720
Jumla,Karnali,Mountain,Mid-Western,2047,1990,44520
Jumla,Karnali,Mountain,Mid-Western,2050,1993,46159
Jumla,Karnali,Mountain,Mid-Western,2056,1999,52220
Jumla,Karnali,Mountain,Mid-Western,2057,2000,54104
Jumla,Karnali,Mountain,Mid-Western,2058,2001,54793
Jumla,Karnali,Mountain,Mid-Western,2059,2002,56313
Jumla,Karnali,Mountain,Mid-Western,2060,2003,55597
Jumla,Karnali,Mountain,Mid-Western,2061,2004,55491
Jumla,Karnali,Mountain,Mid-Western,2062,2005,56499
Jumla,Karnali,Mountain,Mid-Western,2063,2006,61868
Kalikot,Karnali,Mountain,Mid-Western,2047,1990,57918
Kalikot,Karnali,Mountain,Mid-Western,2050,1993,61087
Kalikot,Karnali,Mountain,Mid-Western,2056,1999,67498
Kalikot,Karnali,Mountain,Mid-Western,2057,2000,68037
Kalikot,Karnali,Mountain,Mid-Western,2058,2001,68092
Kalikot,Karnali,Mountain,Mid-Western,2059,2002,67333
Kalikot,Karnali,Mountain,Mid-Western,2060,2003,67194
Kalikot,Karnali,Mountain,Mid-Western,2061,2004,66914
Kalikot,Karnali,Mountain,Mid-Western,2062,2005,67316
Kalikot,Karnali,Mountain,Mid-Western,2063,2006,80252
Humla,Karnali,Mountain,Mid-Western,2047,1990,23260
Humla,Karnali,Mountain,Mid-Western,2050,1993,25849
Humla,Karnali,Mountain,Mid-Western,2056,1999,28375
Humla,Karnali,Mountain,Mid-Western,2057,2000,28249
Humla,Karnali,Mountain,Mid-Western,2058,2001,28410
Humla,Karnali,Mountain,Mid-Western,2059,2002,28353
Humla,Karnali,Mountain,Mid-Western,2060,2003,28165
Humla,Karnali,Mountain,Mid-Western,2061,2004,27902
Humla,Karnali,Mountain,Mid-Western,2062,2005,27908
Humla,Karnali,Mountain,Mid-Western,2063,2006,30089
Jajarkot,Bheri,Hill,Mid-Western,2047,1990,67381
Jajarkot,Bheri,Hill,Mid-Western,2050,1993,75721
Jajarkot,Bheri,Hill,Mid-Western,2056,1999,77583
Jajarkot,Bheri,Hill,Mid-Western,2057,2000,82565
Jajarkot,Bheri,Hill,Mid-Western,2058,2001,82994
Jajarkot,Bheri,Hill,Mid-Western,2059,2002,82825
Jajarkot,Bheri,Hill,Mid-Western,2060,2003,83638
Jajarkot,Bheri,Hill,Mid-Western,2061,2004,83404
Jajarkot,Bheri,Hill,Mid-Western,2062,2005,84385
Jajarkot,Bheri,Hill,Mid-Western,2063,2006,97304
Dailekh,Bheri,Hill,Mid-Western,2047,1990,107538
Dailekh,Bheri,Hill,Mid-Western,2050,1993,117935
Dailekh,Bheri,Hill,Mid-Western,2056,1999,132955
Dailekh,Bheri,Hill,Mid-Western,2057,2000,139363
Dailekh,Bheri,Hill,Mid-Western,2058,2001,142640
Dailekh,Bheri,Hill,Mid-Western,2059,2002,144325
Dailekh,Bheri,Hill,Mid-Western,2060,2003,147946
Dailekh,Bheri,Hill,Mid-Western,2061,2004,149316
Dailekh,Bheri,Hill,Mid-Western,2062,2005,152549
Dailekh,Bheri,Hill,Mid-Western,2063,2006,167786
Surkhet,Bheri,Hill,Mid-Western,2047,1990,119939
Surkhet,Bheri,Hill,Mid-Western,2050,1993,149809
Surkhet,Bheri,Hill,Mid-Western,2056,1999,152702
Surkhet,Bheri,Hill,Mid-Western,2057,2000,161289
Surkhet,Bheri,Hill,Mid-Western,2058,2001,163180
Surkhet,Bheri,Hill,Mid-Western,2059,2002,166323
Surkhet,Bheri,Hill,Mid-Western,2060,2003,171680
Surkhet,Bheri,Hill,Mid-Western,2061,2004,172969
Surkhet,Bheri,Hill,Mid-Western,2062,2005,176305
Surkhet,Bheri,Hill,Mid-Western,2063,2006,214183
Banke,Bheri,Terai,Mid-Western,2047,1990,159525
Banke,Bheri,Terai,Mid-Western,2050,1993,176488
Banke,Bheri,Terai,Mid-Western,2056,1999,181096
Banke,Bheri,Terai,Mid-Western,2057,2000,186533
Banke,Bheri,Terai,Mid-Western,2058,2001,194222
Banke,Bheri,Terai,Mid-Western,2059,2002,195149
Banke,Bheri,Terai,Mid-Western,2060,2003,198351
Banke,Bheri,Terai,Mid-Western,2061,2004,200614
Banke,Bheri,Terai,Mid-Western,2062,2005,203162
Banke,Bheri,Terai,Mid-Western,2063,2006,253622
Bardiya,Bheri,Terai,Mid-Western,2047,1990,143084
Bardiya,Bheri,Terai,Mid-Western,2050,1993,167372
Bardiya,Bheri,Terai,Mid-Western,2056,1999,188258
Bardiya,Bheri,Terai,Mid-Western,2057,2000,199315
Bardiya,Bheri,Terai,Mid-Western,2058,2001,204319
Bardiya,Bheri,Terai,Mid-Western,2059,2002,205794
Bardiya,Bheri,Terai,Mid-Western,2060,2003,209561
Bardiya,Bheri,Terai,Mid-Western,2061,2004,210140
Bardiya,Bheri,Terai,Mid-Western,2062,2005,211501
Bardiya,Bheri,Terai,Mid-Western,2063,2006,274180
Bajura,Seti,Mountain,Far-Western,2047,1990,57580
Bajura,Seti,Mountain,Far-Western,2050,1993,61637
Bajura,Seti,Mountain,Far-Western,2056,1999,71670
Bajura,Seti,Mountain,Far-Western,2057,2000,72962
Bajura,Seti,Mountain,Far-Western,2058,2001,73385
Bajura,Seti,Mountain,Far-Western,2059,2002,73408
Bajura,Seti,Mountain,Far-Western,2060,2003,73703
Bajura,Seti,Mountain,Far-Western,2061,2004,73121
Bajura,Seti,Mountain,Far-Western,2062,2005,73780
Bajura,Seti,Mountain,Far-Western,2063,2006,80721
Achham,Seti,Hill,Far-Western,2047,1990,141604
Achham,Seti,Hill,Far-Western,2050,1993,152713
Achham,Seti,Hill,Far-Western,2056,1999,166195
Achham,Seti,Hill,Far-Western,2057,2000,176221
Achham,Seti,Hill,Far-Western,2058,2001,179147
Achham,Seti,Hill,Far-Western,2059,2002,179135
Achham,Seti,Hill,Far-Western,2060,2003,177318
Achham,Seti,Hill,Far-Western,2061,2004,176619
Achham,Seti,Hill,Far-Western,2062,2005,177288
Achham,Seti,Hill,Far-Western,2063,2006,192856
Bajhang,Seti,Mountain,Far-Western,2047,1990,89546
Bajhang,Seti,Mountain,Far-Western,2050,1993,96458
Bajhang,Seti,Mountain,Far-Western,2056,1999,107266
Bajhang,Seti,Mountain,Far-Western,2057,2000,111730
Bajhang,Seti,Mountain,Far-Western,2058,2001,112582
Bajhang,Seti,Mountain,Far-Western,2059,2002,113423
Bajhang,Seti,Mountain,Far-Western,2060,2003,115027
Bajhang,Seti,Mountain,Far-Western,2061,2004,115309
Bajhang,Seti,Mountain,Far-Western,2062,2005,117106
Bajhang,Seti,Mountain,Far-Western,2063,2006,129719
Doti,Seti,Hill,Far-Western,2047,1990,103256
Doti,Seti,Hill,Far-Western,2050,1993,112593
Doti,Seti,Hill,Far-Western,2056,1999,120409
Doti,Seti,Hill,Far-Western,2057,2000,127950
Doti,Seti,Hill,Far-Western,2058,2001,130608
Doti,Seti,Hill,Far-Western,2059,2002,132553
Doti,Seti,Hill,Far-Western,2060,2003,135310
Doti,Seti,Hill,Far-Western,2061,2004,135410
Doti,Seti,Hill,Far-Western,2062,2005,136735
Doti,Seti,Hill,Far-Western,2063,2006,145969
Kailali,Seti,Terai,Far-Western,2047,1990,206382
Kailali,Seti,Terai,Far-Western,2050,1993,236049
Kailali,Seti,Terai,Far-Western,2056,1999,300305
Kailali,Seti,Terai,Far-Western,2057,2000,327784
Kailali,Seti,Terai,Far-Western,2058,2001,348351
Kailali,Seti,Terai,Far-Western,2059,2002,353264
Kailali,Seti,Terai,Far-Western,2060,2003,370248
Kailali,Seti,Terai,Far-Western,2061,2004,385703
Kailali,Seti,Terai,Far-Western,2062,2005,399907
Kailali,Seti,Terai,Far-Western,2063,2006,475436
Darchaula,Mahakali,Mountain,Far-Western,2047,1990,60398
Darchaula,Mahakali,Mountain,Far-Western,2050,1993,66398
Darchaula,Mahakali,Mountain,Far-Western,2056,1999,71283
Darchaula,Mahakali,Mountain,Far-Western,2057,2000,73953
Darchaula,Mahakali,Mountain,Far-Western,2058,2001,75474
Darchaula,Mahakali,Mountain,Far-Western,2059,2002,75820
Darchaula,Mahakali,Mountain,Far-Western,2060,2003,76992
Darchaula,Mahakali,Mountain,Far-Western,2061,2004,77556
Darchaula,Mahakali,Mountain,Far-Western,2062,2005,79142
Darchaula,Mahakali,Mountain,Far-Western,2063,2006,86661
Baitadi,Mahakali,Hill,Far-Western,2047,1990,125012
Baitadi,Mahakali,Hill,Far-Western,2050,1993,131070
Baitadi,Mahakali,Hill,Far-Western,2056,1999,134630
Baitadi,Mahakali,Hill,Far-Western,2057,2000,140833
Baitadi,Mahakali,Hill,Far-Western,2058,2001,144115
Baitadi,Mahakali,Hill,Far-Western,2059,2002,145623
Baitadi,Mahakali,Hill,Far-Western,2060,2003,148446
Baitadi,Mahakali,Hill,Far-Western,2061,2004,149218
Baitadi,Mahakali,Hill,Far-Western,2062,2005,151128
Baitadi,Mahakali,Hill,Far-Western,2063,2006,171212
Dadeldhura,Mahakali,Hill,Far-Western,2047,1990,75078
Dadeldhura,Mahakali,Hill,Far-Western,2050,1993,78583
Dadeldhura,Mahakali,Hill,Far-Western,2056,1999,75938
Dadeldhura,Mahakali,Hill,Far-Western,2057,2000,78705
Dadeldhura,Mahakali,Hill,Far-Western,2058,2001,81888
Dadeldhura,Mahakali,Hill,Far-Western,2059,2002,83245
Dadeldhura,Mahakali,Hill,Far-Western,2060,2003,84740
Dadeldhura,Mahakali,Hill,Far-Western,2061,2004,85614
Dadeldhura,Mahakali,Hill,Far-Western,2062,2005,86699
Dadeldhura,Mahakali,Hill,Far-Western,2063,2006,100407
Kanchanpur,Mahakali,Terai,Far-Western,2047,1990,130778
Kanchanpur,Mahakali,Terai,Far-Western,2050,1993,151557
Kanchanpur,Mahakali,Terai,Far-Western,2056,1999,183913
Kanchanpur,Mahakali,Terai,Far-Western,2057,2000,198955
Kanchanpur,Mahakali,Terai,Far-Western,2058,2001,206460
Kanchanpur,Mahakali,Terai,Far-Western,2059,2002,205785
Kanchanpur,Mahakali,Terai,Far-Western,2060,2003,213119
Kanchanpur,Mahakali,Terai,Far-Western,2061,2004,215656
Kanchanpur,Mahakali,Terai,Far-Western,2062,2005,219354
Kanchanpur,Mahakali,Terai,Far-Western,2063,2006,284319
